node,degree,betweenness,eigenvector,freq
취약,0.8333,0.0687,0.405,6444
복지,0.8125,0.1334,0.3208,8404
계층,0.8125,0.1259,0.4001,6276
가구,0.7083,0.0337,0.3293,7209
독거노인,0.6458,0.0665,0.3277,5210
예방,0.4583,0.0629,0.1604,3372
안전,0.3958,0.0598,0.132,3344
고독사,0.3958,0.0301,0.1535,4137
센터,0.3958,0.0408,0.1716,3847
이웃,0.375,0.039,0.1629,3212
생활,0.3125,0.0239,0.1406,3125
사랑,0.2917,0.0257,0.1374,3069
어르신,0.2708,0.0133,0.1078,3277
노인,0.2708,0.0426,0.0934,4471
대응,0.2708,0.0168,0.0714,2348
방문,0.2708,0.0142,0.1171,2158
안부,0.2708,0.0248,0.1055,2137
고립,0.25,0.0168,0.0864,3030
건강,0.25,0.0244,0.088,2699
사회보장,0.25,0.0186,0.1272,2586
위험,0.2292,0.0142,0.0935,2181
가정,0.2083,0.0,0.1094,1838
소득,0.2083,0.0009,0.125,2038
주민,0.2083,0.0106,0.0898,2518
직접,0.2083,0.0027,0.1018,1673
지대,0.1667,0.0053,0.0795,1568
발굴,0.1667,0.0018,0.0573,1686
위기,0.1667,0.0044,0.0567,1601
행정,0.1458,0.0,0.1015,2078
관리,0.1458,0.0027,0.0465,1932
주거,0.1458,0.0044,0.063,1548
환경,0.125,0.0022,0.0572,1513
체계,0.125,0.0009,0.0381,1610
기탁,0.125,0.0018,0.0625,1616
봉사,0.125,0.0018,0.0512,2040
종합,0.125,0.016,0.035,1817
회장,0.125,0.0071,0.0585,1845
부산,0.125,0.0098,0.0516,1904
폭염,0.125,0.0044,0.0407,2174
충북,0.1042,0.0027,0.0547,1491
봉사활동,0.1042,0.0053,0.0448,1486
맞춤,0.1042,0.0009,0.0473,1479
대책,0.1042,0.0,0.0193,1462
명절,0.0833,0.0106,0.0378,1539
복지관,0.0625,0.0,0.0128,1510
시민,0.0417,0.0044,0.0114,1701
인천,0.0417,0.0,0.0047,1729
한국,0.0417,0.0,0.0207,1785
정책,0.0208,0.0,0.0118,1569
